"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","1 @Fendi Kan I bag. 120 ways to make it yours. Start customising now: #MakeItMine ",FALSE,6,NA,2017-11-29 14:18:13,FALSE,NA,"935875551688052737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",2,FALSE,FALSE,NA,NA
"2","1 sneaker legend, 4 exclusive one-off styles. Kicks collectors, click here for @TheShoeSurgeon originals before the ",FALSE,8,NA,2017-11-29 10:05:26,TRUE,NA,"935811935270047744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",0,FALSE,FALSE,NA,NA
"3","@rbhysmusic Hello, thank you for contacting us, Could you please send us a DM? Thanks, Farfetch",FALSE,0,"rbhysmusic",2017-11-28 17:42:38,FALSE,"935555964555616258","935564603865657345","3067607857","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"4","Let our Gift Generator find the perfect present for everyone on your list: ",FALSE,2,NA,2017-11-27 00:24:51,FALSE,NA,"934941051969835011",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"5","Go big or go home! 10 grand gesture gifts guaranteed to thrill: ",FALSE,3,NA,2017-11-26 23:40:08,FALSE,NA,"934929798945787906",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"6","Over 400 new party pieces are waiting for you! See what's #NewIn on Farfetch: @JenniferBehr ",FALSE,1,NA,2017-11-26 23:30:12,TRUE,NA,"934927299429978112",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"7","10 fail-proof gifts for him: @OffWht @Dsquared2 @MaisonValentino ",FALSE,8,NA,2017-11-26 23:01:49,FALSE,NA,"934920153711759360",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"8","@foteinivogiatzi Hello, we're sorry but  we dont have any promo codes. Please sign up for our newsletter to find out about future coupon...",FALSE,0,"foteinivogiatzi",2017-11-26 22:47:17,FALSE,"934898890897227777","934916497146818560","1208221003","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"9","@SPECIALOKAYSION Hello, Can you please send us a DM so we can look into this for you?",FALSE,0,"SPECIALOKAYSION",2017-11-26 22:45:16,FALSE,"934890241214812160","934915988058984448","167605052","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"10","True or False: You need new shoes. ",FALSE,8,NA,2017-11-26 00:57:34,FALSE,NA,"934586894238744576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",0,FALSE,FALSE,NA,NA
"11","@sariduridu Hello, Can you please send us a DM?",FALSE,0,"sariduridu",2017-11-25 21:16:36,FALSE,"934479725778685953","934531288589094914","212513483","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"12","@xem_08x Hello, Unfortunately, we do not have any promo codes for Gucci items. We truly apologize.",FALSE,0,"xem_08x",2017-11-25 17:27:20,FALSE,"934379186860560384","934473592787623936","48524937","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"13","@bitsandbobssss Hello, thank  you for contacting us! I am very sorry to hear this, Please send us a DM with your email address. Thanks, F...",FALSE,0,"bitsandbobssss",2017-11-24 17:32:46,FALSE,"934108366044987392","934112572072132609","819263233","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"14","Pssst! Our #BlackFriday sale is on now. What are you waiting for? ",FALSE,6,NA,2017-11-24 15:06:41,FALSE,NA,"934075806300635138",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",2,FALSE,FALSE,NA,NA
"15","@EdwardNoire Hello, thank you for contacting us. Please send us a DM. Thanks, Farfetch",FALSE,0,"EdwardNoire",2017-11-24 00:36:34,FALSE,"933854265701027840","933856837555847168","1581944636","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"16","@Hlynur2020 Hello, thank you for contacting us! I am sorry that you feel this way. Pleases send us a DM? Thanks, Farfetch",FALSE,0,"Hlynur2020",2017-11-23 19:34:39,FALSE,"933771230884388865","933780857097244674","4775722101","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"17","@Bruskk_ Hello, thank you for your response. Unfortunately, we do not price-match with outside companies. Thanks, Farfetch",FALSE,0,"Bruskk_",2017-11-22 22:25:52,FALSE,"933364442301173760","933461555710234624","1323167875","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"18","Add a little adrenaline to your wardrobe with these high octane accessories: ",FALSE,2,NA,2017-11-20 13:40:22,FALSE,NA,"932604533649367042",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"19","Find your favourite @Moncler look and pray for powder: ",FALSE,3,NA,2017-11-19 23:45:07,FALSE,NA,"932394338415529984",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"20","Stylist Tine Andrea ranks the best party-ready earrings: ",FALSE,2,NA,2017-11-19 19:50:09,FALSE,NA,"932335204609470464",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"21","Don't be shy! Dial things up in one of these extravagant outerwear styles: ",FALSE,0,NA,2017-11-19 18:25:08,FALSE,NA,"932313809057996800",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"22","Keep your little one bundled up in the most adorable winter essentials from @StellaMcCartney, @dolcegabbana, ",FALSE,5,NA,2017-11-19 17:40:09,TRUE,NA,"932302491504578560",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"23","Take your accessories to the extreme this season: ",FALSE,3,NA,2017-11-19 16:24:02,FALSE,NA,"932283336202117120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"24","Give back every time you give #ASpecialBag! From @Margiela to @marniofficial, 6 designers partnered with ",FALSE,4,NA,2017-11-17 18:01:21,TRUE,NA,"931583050542206976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",5,FALSE,FALSE,NA,NA
"25","How are local markets inspiring the fashion industry? Watch an exclusive panel discussion with @prabalgurung and ",FALSE,3,NA,2017-11-16 20:39:53,TRUE,NA,"931260555444260866",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"26","@JohnGeiger_ Time to work! ",FALSE,0,"JohnGeiger_",2017-11-15 18:15:53,FALSE,"930861726207266828","930861929568129024","97917847","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",3,FALSE,FALSE,NA,NA
"27"," ",FALSE,6,NA,2017-11-15 11:21:33,FALSE,NA,"930757658424070144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",0,FALSE,FALSE,NA,NA
"28","Don't miss @glamourmag's Women of the Year Live Summit! Keep an eye out for the Fashion for Women by Women - Meet ",FALSE,6,NA,2017-11-13 14:26:04,TRUE,NA,"930079321619943424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"29","Holiday partywear so good you won't want to take it off: ",FALSE,5,NA,2017-11-11 17:20:20,FALSE,NA,"929398401531334658",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"30","Cult favourite bags by the likes of Chanel, Dior and Herms make the ultimate gift for any vintage lover: ",FALSE,9,NA,2017-11-11 14:45:22,TRUE,NA,"929359401340764160",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",2,FALSE,FALSE,NA,NA
"31","New @NBHD_INFO has just arrived: ",FALSE,4,NA,2017-11-11 12:21:47,FALSE,NA,"929323265537007616",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
