"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","It's time to leave your comfort zone: #THEEDIT shows you how to master winter's hottest trend  ",FALSE,4,NA,2017-12-07 22:27:01,TRUE,NA,"938897663172534272",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"2","Currently pinning: it bags. @AnyaHindmarchs slouchy tote is the perfect size for carrying your essentials  we lov ",FALSE,20,NA,2017-12-07 20:46:02,TRUE,NA,"938872249582530560",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"3","@megdennisx Hi Megan, we apologize about this.  If you are unable to contact DHL directly, please DM us to reconfir ",FALSE,0,"megdennisx",2017-12-07 19:55:01,TRUE,"938857199182458880","938859410138558466","49414159","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"4","@megdennisx Hi Megan. It does appear that DHL is missing some information for your shipping address.  We would reco ",FALSE,0,"megdennisx",2017-12-07 19:44:30,TRUE,"938854335617929218","938856764254097408","49414159","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"5","@lily_kumar As we can confirm, a manager has contacted you. Please contact us for any further assistance.",FALSE,0,"lily_kumar",2017-12-07 19:32:31,FALSE,"938822083261403136","938853750323728384","367390666","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"6","@lily_kumar We will have this information further reviewed and contact you with an update.",FALSE,0,"lily_kumar",2017-12-07 18:27:51,FALSE,"938822083261403136","938837474952077312","367390666","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"7","From scenic slopes to high-octane runs: this is where to hit the slopes this season #THEEDIT ",FALSE,6,NA,2017-12-07 18:19:01,FALSE,NA,"938835251383668737",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"8","@lily_kumar Hi Lily, we apologize for the disappointment caused. Please DM us your order details to have further reviewed.",FALSE,0,"lily_kumar",2017-12-07 17:24:28,FALSE,"938818443981262848","938821524856942592","367390666","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"9","Star of #Oceans8 + #ThePost @MsSarahPaulson talks Hollywood &amp; the coolest WhatsApp group in Hollywood #THEEDIT ",FALSE,52,NA,2017-12-07 16:55:34,TRUE,NA,"938814253045305345",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",23,FALSE,FALSE,NA,NA
"10","From designer bags to statement accessories, weve got ways to wow everyone on your gift list. Discover the ultimat ",FALSE,12,NA,2017-12-07 14:45:35,TRUE,NA,"938781540716371968",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",8,FALSE,FALSE,NA,NA
"11","Worn by Alexa Chung and Sienna Miller, #CVCStones one-of-a-kind necklaces are strung with hand-picked pebbles and ",FALSE,5,NA,2017-12-07 12:32:01,TRUE,NA,"938747926125391873",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"12","Inspired by classic tuxedos, create a striking silhouette with @Balmains wool blazer. We like it styled with tailo ",FALSE,33,NA,2017-12-07 10:59:01,TRUE,NA,"938724524295688192",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",9,FALSE,FALSE,NA,NA
"13","This is how to master winter's prettiest hair trend #THEEDIT ",FALSE,12,NA,2017-12-06 21:14:02,FALSE,NA,"938516908701356036",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"14","Is your skin in need of a boost? @DrBarbaraSturms Glow Drops are formulated with potent, anti-aging compounds to d ",FALSE,6,NA,2017-12-06 19:49:02,TRUE,NA,"938495516190617600",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",3,FALSE,FALSE,NA,NA
"15","PRESS PLAY: Our 5 cover stars on sexism, diversity and equal opportunities in front of (and behind) the camera ",FALSE,11,NA,2017-12-06 18:23:01,TRUE,NA,"938473871153532930",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"16","With fans including Cameron Diaz and Rihanna, its no surprise that @HShandbags are a hit with the street style set ",FALSE,7,NA,2017-12-06 16:36:01,TRUE,NA,"938446944481038339",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"17","#PalmAngels founder @FR365 reinterprets Southern Californian skate culture through an Italian lens. Shop our edit ",FALSE,7,NA,2017-12-06 15:02:01,TRUE,NA,"938423287343931392",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"18","The perfect gifts for the most stylish people on your list (yourself included, obviously...) #THEEDIT ",FALSE,19,NA,2017-12-06 14:05:01,TRUE,NA,"938408941507227648",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",7,FALSE,FALSE,NA,NA
"19","We love how @MiuMiuOfficials earrings are playfully designed in the shape of a cats face  pair with other delica ",FALSE,23,NA,2017-12-06 12:32:30,TRUE,NA,"938385662067314688",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"20","@DhirendraPSR we ship shipping to India and it can takes 2-4 working days to arrive. Let us know if we can do anything else to help.",FALSE,0,"DhirendraPSR",2017-12-06 11:30:01,FALSE,"938306298483019777","938369935654506496","1555836781","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"21","Leading ladies: meet our 5 cover stars shaping the conversations on television right now #THEEDIT ",FALSE,15,NA,2017-12-06 08:31:01,TRUE,NA,"938324890419154944",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"22","@chrisyjai Hello. We are sorry to hear of the disappointment caused and will gladly look into this further. Please ",FALSE,0,"chrisyjai",2017-12-05 23:45:03,TRUE,"938183828648144903","938192527236231168","621193242","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"23","@maisrienisboss Hello. We are happy to pass your feedback along regarding this matter.",FALSE,0,"maisrienisboss",2017-12-05 23:43:26,FALSE,"938176258730491905","938192118132232193","737692200327360512","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"24","From scarlet dresses to crimson pant suits, take your styling cues from the street style stars and make a statement ",FALSE,18,NA,2017-12-05 21:14:02,TRUE,NA,"938154519913000966",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"25","This is where the LA creative crowd goes to party #THEEDIT ",FALSE,10,NA,2017-12-05 20:31:02,FALSE,NA,"938143700638629888",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
